Datum;Uhrzeit;OV;Veranstaltung
05. Mai;19:00;<b>M21</b>;<a href="http://www.darc.de/index.php?id=2805">Technikabend</link>
15. bis 17. Mai;;<a href="http://www.w8bi.org" target="_blank">DARA</link>;<a href="http://www.hamvention.org" target="_blank">Dayton Hamvention</link>
19. Mai;19:30;<b>M21</b>;5. <a href="http://www.darc.de/index.php?id=2805">OV-Abend</link>
23. bis 25. Mai;;;Deutsch-Dänisches Pfingsttreffen in Kristianshåb
02. Juni;19:00;<b>M21</b>;<a href="http://www.darc.de/index.php?id=2805">Technikabend</link>
08. bis 14. Juni;;<a href="http://www.darc.de" target="_blank">DARC</link>;<a href="http://www.darc.de/referate/dx/bulls/darc65/aktivitaetswochen" target="_blank">Aktivitätswoche 65 Jahre DARC</link>
13. Juni;;<a href="http://www.darc.de" target="_blank">DARC</link>;<a href="http://www.darc.de/referate/dx/contest/qso-party" target="_blank">QSO-Party am Funkertag 65 Jahre DARC</link>
16. Juni;19:30;<b>M21</b>;6. <a href="http://www.darc.de/index.php?id=2805">OV-Abend</link>
21. Juni;;<a href="http://www.arrl.org" target="_blank">ARRL</link>;<a href="http://www.arrl.org/kids-day" target="_blank">Kids Day</link>
26. bis 28. Juni;;<a href="http://www.darc.de" target="_blank">DARC</link>;<a href="http://www.hamradio-friedrichshafen.de" target="_blank">HAM RADIO</link>
27. bis 28. Juni;;<a href="http://www.arrl.org" target="_blank">ARRL</link>;<a href="http://www.arrl.org/field-day" target="_blank">Fieldday</link>
06. bis 12. Juli;;<a href="http://www.darc.de/m" target="_blank">M</link>;Sonderrufzeichen <a href="http://dcl.darc.de/~dcl/planer/plan.php?acall=DL65DARC" target="_blank">DL65DARC</link> für den Distrikt M
07. Juli;19:00;<b>M21</b>;<a href="http://www.darc.de/index.php?id=2805">Technikabend</link>
11. bis 12. Juli;;<a href="http://www.iaru.org" target="_blank">IARU</link>;<a href="http://www.iaru.org/contests.html" target="_blank">IARU HF World Championship</link>
21. Juli;19:30;<b>M21</b>;7. <a href="http://www.darc.de/index.php?id=2805">OV-Abend</link> als Grillabend bei Hartmut im Garten / Marktstraße 11 / Einladung folgt
27. Juli bis 02. August;;<a href="http://www.darc.de/m" target="_blank">M</link>;Sonderrufzeichen <a href="http://dcl.darc.de/~dcl/planer/plan.php?acall=DK65DARC" target="_blank">DK65DARC</link> für den Distrikt M
04. August;19:00;<b>M21</b>;<a href="http://www.darc.de/index.php?id=2805">Technikabend</link>
09. August;;<a href="http://www.darc.de/m09" target="_blank">M09</link>;<a href="http://www.darc.de/distrikte/m/09/aktivitaeten-und-wettbewerbe/norddeutscher-hoehentag" target="_blank">Norddeutscher Höhentag</link>
15. bis 16. August;;<b>M21</b>;<a href="http://www.darc.de/index.php?id=3646">Teilnahme am ILLW</link>
18. August;19:30;<b>M21</b>;8. <a href="http://www.darc.de/index.php?id=2805">OV-Abend</link>
27. bis 30. August;;<a href="http://www.darc.de" target="_blank">DARC</link>;<a href="http://www.dnat.de" target="_blank">Deutsch-Niederländische Amateurfunker-Tage DNAT</link> in Bad Bentheim
01. September;19:00;<b>M21</b>;<a href="http://www.darc.de/index.php?id=2805">Technikabend</link>
05. September;;<a href="http://www.jarl.org/English" target="_blank">JARL</link>;<a href="http://www.jarl.org/English/4_Library/A-4-3_Contests/2014AA_rule.htm" target="_blank">All Asian DX Contest</link>
05. bis 06. September;;<a href="http://www.iaru.org" target="_blank">IARU</link>;<a href="http://www.darc.de/referate/dx/contest/fd" target="_blank">IARU Region 1 Fieldday</link>
11. bis 13. September;;<a href="http://www.darc.de/a20" target="_blank">A20</link>;<a href="http://www.ukw-tagung.org" target="_blank">UKW-Tagung</link>
12. bis 13. September;;<a href="http://www.darc.de" target="_blank">DARC</link>;<a href="http://www.darc.de/de/referate/dx/contest/waedc" target="_blank">Worked All Europe DX Contest</link>
15. September;19:30;<b>M21</b>;9. <a href="http://www.darc.de/index.php?id=2805">OV-Abend</link>
19. September;9:30;<a href="http://www.e09.de" target="_blank">E09</link>;<a href="http://e09.de/index.php/qrp-treffen" target="_blank">QRP an der See</link>
26. September;8:30;<a href="http://www.dk0iz.de" target="_blank">M05</link>;<a href="http://www.wolfswelle.de" target="_blank">Wolfswelle</link>: Flohmarkt am Flugplatz Hungriger Wolf / Hohenlockstedt
26. September;13:00;<a href="http://www.darc.de/m" target="_blank">M</link>;Distriktsversammlung Schleswig-Holstein in Groß Vollstedt;Kreis Rendsburg
06. Oktober;19:00;<b>M21</b>;<a href="http://www.darc.de/index.php?id=2805">Technikabend</link>
11. Oktober;;;33. Amateurfunkflohmarkt in Nortorf
17. bis 18. Oktober;;<a href="http://www.darc.de" target="_blank">DARC</link>;<a href="http://www.darc.de/referate/dx/contest/wag/en/rules" target="_blank">Worked All Germany (WAG) Contest</link>
17. bis 18. Oktober;;<a href="http://scout.org" target="_blank">SCOUTS</link>;<a href="http://www.scoutnet.de/kommunikation/jota-joti" target="_blank">58. Jamboree on the Air JOTA</link>
20. Oktober;19:30;<b>M21</b>;10. <a href="http://www.darc.de/index.php?id=2805">OV-Abend</link>
24. Oktober;9:00;<a href="http://www.interradio.eu" target="_blank">ATN</link>;<a href="http://www.interradio.eu" target="_blank">Interradio</link> in Hannover / Halle 2 / Deutsche Messe Hannover
24. bis 25. Oktober;;<a href="http://www.cq-amateur-radio.com" target="_blank">CQ</link>;<a href="http://www.cqww.com" target="_blank">CQ World Wide DX Contest</link>
31. Oktober;;<a href="http://www.darc.de/m" target="_blank">M</link>;Distriktsversammlung Schleswig-Holstein (Ort noch offen)
03. November;19:00;<b>M21</b>;<a href="http://www.darc.de/index.php?id=2805">Technikabend</link>
07. November;;<a href="http://www.veron.nl" target="_blank">VERON</link>;<a href="https://www.veron.nl/evenementen/dag-voor-de-radio-amateur-dvdra" target="_blank">Dag vor de Radio Amateur</link> in Apeldoorn
17. November;19:30;<b>M21</b>;11. <a href="http://www.darc.de/index.php?id=2805">OV-Abend</link>
01. Dezember;19:00;<b>M21</b>;<a href="http://www.darc.de/index.php?id=2805">Technikabend</link>
05. Dezember;;<a href="http://www.dat-ev.org" target="_blank">DAT</link>;<a href="http://www.dat-ev.org" target="_blank">Amateurfunk-Markt Dortmund</link>
15. Dezember;19:30;<b>M21</b>;12. <a href="http://www.darc.de/index.php?id=2805">OV-Abend</link>
26. Dezember;;<a href="http://www.darc.de" target="_blank">DARC</link>;<a href="http://www.darc.de/referate/dx/contest/xmas" target="_blank">DARC-Weihnachtswettbewerb</link>
